ID,Name,City,Country,IATA,ICAO,LAT,LONG,,,,,,
3508,Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,United States,HHR,KHHR,33.9227980000,-118.3349990000,66,-8,A,America/Los_Angeles,airport,OurAirports
3509,Houlton International Airport,Houlton,United States,HUL,KHUL,46.1231002808,-67.7920989990,489,-5,A,America/New_York,airport,OurAirports
3510,Vance Air Force Base,Enid,United States,END,KEND,36.3391990662,-97.9164962769,1307,-6,A,America/Chicago,airport,OurAirports
3511,Point Mugu Naval Air Station (Naval Base Ventura Co),Point Mugu,United States,NTD,KNTD,34.1203002930,-119.1210021970,13,-8,A,America/Los_Angeles,airport,OurAirports
3512,Edwards Air Force Base,Edwards Afb,United States,EDW,KEDW,34.9053990000,-117.8840030000,2312,-8,A,America/Los_Angeles,airport,OurAirports
3513,Lake Charles Regional Airport,Lake Charles,United States,LCH,KLCH,30.1261005402,-93.2232971191,15,-6,A,America/Chicago,airport,OurAirports
3514,Ellison Onizuka Kona International At Keahole Airport,Kona,United States,KOA,PHKO,19.7387830000,-156.0456030000,47,-10,N,Pacific/Honolulu,airport,OurAirports
3515,Myrtle Beach International Airport,Myrtle Beach,United States,MYR,KMYR,33.6796989441,-78.9282989502,25,-5,A,America/New_York,airport,OurAirports
3516,Lemoore Naval Air Station (Reeves Field) Airport,Lemoore,United States,NLC,KNLC,36.3330001800,-119.9520035000,232,-8,A,America/Los_Angeles,airport,OurAirports
3517,Nantucket Memorial Airport,Nantucket,United States,ACK,KACK,41.2531013500,-70.0602035500,47,-5,A,America/New_York,airport,OurAirports
3518,Felker Army Air Field,Fort Eustis,United States,FAF,KFAF,37.1324996948,-76.6088027954,12,-5,A,America/New_York,airport,OurAirports
3519,Campbell AAF (Fort Campbell) Air Field,Hopkinsville,United States,HOP,KHOP,36.6685981750,-87.4962005615,573,-6,A,America/Chicago,airport,OurAirports
3520,Ronald Reagan Washington National Airport,Washington,United States,DCA,KDCA,38.8521000000,-77.0376970000,15,-5,A,America/New_York,airport,OurAirports
3521,Patuxent River Naval Air Station (Trapnell Field),Patuxent River,United States,NHK,KNHK,38.2859990000,-76.4117970000,39,-5,A,America/New_York,airport,OurAirports
3522,Palacios Municipal Airport,Palacios,United States,PSX,KPSX,28.7275009155,-96.2509994507,14,-6,A,America/Chicago,airport,OurAirports
3523,Arkansas International Airport,Blytheville,United States,BYH,KBYH,35.9642982483,-89.9440002441,254,-6,A,America/Chicago,airport,OurAirports
3524,Atlantic City International Airport,Atlantic City,United States,ACY,KACY,39.4575996399,-74.5772018433,75,-5,A,America/New_York,airport,OurAirports
3525,Tinker Air Force Base,Oklahoma City,United States,TIK,KTIK,35.4146995544,-97.3865966797,1291,-6,A,America/Chicago,airport,OurAirports
3526,Elizabeth City Regional Airport & Coast Guard Air Station,Elizabeth City,United States,ECG,KECG,36.2606010400,-76.1745986900,12,-5,A,America/New_York,airport,OurAirports
3527,Pueblo Memorial Airport,Pueblo,United States,PUB,KPUB,38.2891006470,-104.4970016479,4726,-7,A,America/Denver,airport,OurAirports
3528,Northern Maine Regional Airport at Presque Isle,Presque Isle,United States,PQI,KPQI,46.6889991800,-68.0447998000,534,-5,A,America/New_York,airport,OurAirports
3530,Gray Army Air Field,Fort Lewis,United States,GRF,KGRF,47.0792007400,-122.5810013000,300,-8,A,America/Los_Angeles,airport,OurAirports
3531,Kodiak Airport,Kodiak,United States,ADQ,PADQ,57.7500000000,-152.4940033000,78,-9,A,America/Anchorage,airport,OurAirports
3532,Upolu Airport,Opolu,United States,UPP,PHUP,20.2653007507,-155.8600006104,96,-10,A,Pacific/Honolulu,airport,OurAirports
3533,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,FLL,KFLL,26.0725990000,-80.1527020000,9,-5,A,America/New_York,airport,OurAirports
3534,Muskogee-Davis Regional Airport,Muskogee,United States,,KMKO,35.6565020000,-95.3666990000,611.00,-6,A,America/Chicago,airport,OurAirports
3535,Falls International Airport,International Falls,United States,INL,KINL,48.5662002563,-93.4030990601,1185,-6,A,America/Chicago,airport,OurAirports
3536,Salt Lake City International Airport,Salt Lake City,United States,SLC,KSLC,40.7883987427,-111.9779968262,4227,-7,A,America/Denver,airport,OurAirports
3537,Childress Municipal Airport,Childress,United States,CDS,KCDS,34.4337997437,-100.2880020140,1954,-6,A,America/Chicago,airport,OurAirports
3538,Keesler Air Force Base,Biloxi,United States,BIX,KBIX,30.4104003906,-88.9244003296,33,-6,A,America/Chicago,airport,OurAirports
3539,Lawson Army Air Field (Fort Benning),Fort Benning,United States,LSF,KLSF,32.3372993469,-84.9913024902,232,-5,A,America/New_York,airport,OurAirports
3540,Kingsville Naval Air Station,Kingsville,United States,NQI,KNQI,27.5072002411,-97.8097000122,50,-6,A,America/Chicago,airport,OurAirports
3541,Marshall Army Air Field,Fort Riley,United States,FRI,KFRI,39.0553016700,-96.7645034800,1065,-6,A,America/Chicago,airport,OurAirports
3542,Harrisburg International Airport,Harrisburg,United States,MDT,KMDT,40.1935005188,-76.7633972168,310,-5,A,America/New_York,airport,OurAirports
3543,Lincoln Airport,Lincoln,United States,LNK,KLNK,40.8510017395,-96.7592010498,1219,-6,A,America/Chicago,airport,OurAirports
3544,Capital City Airport,Lansing,United States,LAN,KLAN,42.7787017822,-84.5874023438,861,-5,A,America/New_York,airport,OurAirports
3545,Waimea Kohala Airport,Kamuela,United States,MUE,PHMU,20.0013008118,-155.6679992676,2671,-10,A,Pacific/Honolulu,airport,OurAirports
3546,Massena International Richards Field,Massena,United States,MSS,KMSS,44.9357986450,-74.8455963135,215,-5,A,America/New_York,airport,OurAirports
3547,Hickory Regional Airport,Hickory,United States,HKY,KHKY,35.7411003100,-81.3895034800,1190,-5,A,America/New_York,airport,OurAirports
3548,Albert Whitted Airport,St. Petersburg,United States,SPG,KSPG,27.7651000000,-82.6269990000,7,-5,A,America/New_York,airport,OurAirports
3549,Page Field,Fort Myers,United States,FMY,KFMY,26.5865993500,-81.8632965088,17,-5,A,America/New_York,airport,OurAirports
3550,George Bush Intercontinental Houston Airport,Houston,United States,IAH,KIAH,29.9843997955,-95.3414001465,97,-6,A,America/Chicago,airport,OurAirports
3551,Millinocket Municipal Airport,Millinocket,United States,,KMLT,45.6478004456,-68.6856002808,408.00,-5,A,America/New_York,airport,OurAirports
3552,Joint Base Andrews,Camp Springs,United States,ADW,KADW,38.8107990000,-76.8669970000,280,-5,A,America/New_York,airport,OurAirports
3553,Smith Reynolds Airport,Winston-salem,United States,INT,KINT,36.1337013245,-80.2220001221,969,-5,A,America/New_York,airport,OurAirports
3554,Southern California Logistics Airport,Victorville,United States,VCV,KVCV,34.5974998474,-117.3830032350,2885,-8,A,America/Los_Angeles,airport,OurAirports
3555,Bob Sikes Airport,Crestview,United States,CEW,KCEW,30.7787990570,-86.5221023560,213,-6,A,America/Chicago,airport,OurAirports
3556,Wheeler Sack Army Air Field,Fort Drum,United States,,KGTB,44.0555992100,-75.7194976800,688.00,-5,A,America/New_York,airport,OurAirports
3557,St Clair County International Airport,Port Huron,United States,PHN,KPHN,42.9109993000,-82.5289001500,650,-5,A,America/New_York,airport,OurAirports
3558,Meadows Field,Bakersfield,United States,BFL,KBFL,35.4336013800,-119.0569992000,510,-8,A,America/Los_Angeles,airport,OurAirports
3559,El Paso International Airport,El Paso,United States,ELP,KELP,31.8071994800,-106.3779984000,3959,-7,A,America/Denver,airport,OurAirports
3560,Valley International Airport,Harlingen,United States,HRL,KHRL,26.2285003662,-97.6544036865,36,-6,A,America/Chicago,airport,OurAirports
3561,Columbia Metropolitan Airport,Columbia,United States,CAE,KCAE,33.9388008118,-81.1194992065,236,-5,A,America/New_York,airport,OurAirports
3562,Davis Monthan Air Force Base,Tucson,United States,DMA,KDMA,32.1665000916,-110.8830032350,2704,-7,A,America/Phoenix,airport,OurAirports
3563,Pensacola Naval Air Station/Forrest Sherman Field,Pensacola,United States,NPA,KNPA,30.3526992800,-87.3186035200,28,-6,A,America/Chicago,airport,OurAirports
3564,Pensacola Regional Airport,Pensacola,United States,PNS,KPNS,30.4734001160,-87.1865997314,121,-6,A,America/Chicago,airport,OurAirports
3565,Grand Forks Air Force Base,Red River,United States,RDR,KRDR,47.9611015320,-97.4011993408,913,-6,A,America/Chicago,airport,OurAirports
3566,William P Hobby Airport,Houston,United States,HOU,KHOU,29.6453990900,-95.2789001500,46,-6,A,America/Chicago,airport,OurAirports
3567,Buckley Air Force Base,Buckley,United States,BFK,KBKF,39.7016983032,-104.7519989010,5662,-7,A,America/Denver,airport,OurAirports
3568,Northway Airport,Northway,United States,ORT,PAOR,62.9612999000,-141.9290009000,1715,-9,A,America/Anchorage,airport,OurAirports
"3569,""Warren """"Bud"""" Woods Palmer Municipal Airport"",Palmer,United States,PAQ,PAAQ,61.5948980000,-149.0890100000,242,-9,A,America/Anchorage,airport,OurAirports"
3570,Pittsburgh International Airport,Pittsburgh,United States,PIT,KPIT,40.4915008500,-80.2329025300,1203,-5,A,America/New_York,airport,OurAirports
3571,Wiley Post Will Rogers Memorial Airport,Barrow,United States,BRW,PABR,71.2854020000,-156.7660080000,44,-9,A,America/Anchorage,airport,OurAirports
3572,Ellington Airport,Houston,United States,EFD,KEFD,29.6072998047,-95.1587982178,32,-6,A,America/Chicago,airport,OurAirports
3573,Whidbey Island Naval Air Station (Ault Field),Whidbey Island,United States,NUW,KNUW,48.3517990000,-122.6559980000,47,-8,A,America/Los_Angeles,airport,OurAirports
3574,Alice International Airport,Alice,United States,ALI,KALI,27.7409000397,-98.0269012451,178,-6,A,America/Chicago,airport,OurAirports
3575,Moody Air Force Base,Valdosta,United States,VAD,KVAD,30.9678001404,-83.1930007935,233,-5,A,America/New_York,airport,OurAirports
3576,Miami International Airport,Miami,United States,MIA,KMIA,25.7931995392,-80.2906036377,8,-5,A,America/New_York,airport,OurAirports
3577,Seattle Tacoma International Airport,Seattle,United States,SEA,KSEA,47.4490010000,-122.3089980000,433,-8,A,America/Los_Angeles,airport,OurAirports
3578,Lovell Field,Chattanooga,United States,CHA,KCHA,35.0353012085,-85.2037963867,683,-5,A,America/New_York,airport,OurAirports
3579,Igor I Sikorsky Memorial Airport,Stratford,United States,BDR,KBDR,41.1635017395,-73.1261978149,9,-5,A,America/New_York,airport,OurAirports
3580,Jackson-Medgar Wiley Evers International Airport,Jackson,United States,JAN,KJAN,32.3111991882,-90.0758972168,346,-6,A,America/Chicago,airport,OurAirports
3581,Scholes International At Galveston Airport,Galveston,United States,GLS,KGLS,29.2653007507,-94.8603973389,6,-6,A,America/Chicago,airport,OurAirports
3582,Long Beach /Daugherty Field/ Airport,Long Beach,United States,LGB,KLGB,33.8176994300,-118.1520004000,60,-8,A,America/Los_Angeles,airport,OurAirports
3583,Dillingham Airfield,Dillingham,United States,HDH,PHDH,21.5795001984,-158.1970062260,14,-10,A,Pacific/Honolulu,airport,OurAirports
3584,Williamsport Regional Airport,Williamsport,United States,IPT,KIPT,41.2417984009,-76.9210968018,529,-5,A,America/New_York,airport,OurAirports
3585,Indianapolis International Airport,Indianapolis,United States,IND,KIND,39.7173000000,-86.2944030000,797,-5,A,America/New_York,airport,OurAirports
3586,Whiteman Air Force Base,Knobnoster,United States,SZL,KSZL,38.7303009033,-93.5478973389,870,-6,A,America/Chicago,airport,OurAirports
3587,Akron Fulton International Airport,Akron,United States,AKC,KAKR,41.0374984741,-81.4669036865,1067,-5,A,America/New_York,airport,OurAirports
3588,Greenwoodâ€“Leflore Airport,Greenwood,United States,GWO,KGWO,33.4943008423,-90.0847015381,162,-6,A,America/Chicago,airport,OurAirports
3589,Westchester County Airport,White Plains,United States,HPN,KHPN,41.0670013428,-73.7076034546,439,-5,A,America/New_York,airport,OurAirports
3590,Francis S Gabreski Airport,West Hampton Beach,United States,FOK,KFOK,40.8437004089,-72.6317977905,67,-5,A,America/New_York,airport,OurAirports
3591,Jonesboro Municipal Airport,Jonesboro,United States,JBR,KJBR,35.8316993713,-90.6464004517,262,-6,A,America/Chicago,airport,OurAirports
3592,Tonopah Test Range Airport,Tonopah,United States,XSD,KTNX,37.7988014221,-116.7809982300,5549,-8,A,America/Los_Angeles,airport,OurAirports
3593,Palm Beach County Park Airport,West Palm Beach,United States,LNA,KLNA,26.5930004100,-80.0850982700,14,-5,A,America/New_York,airport,OurAirports
3594,North Island Naval Air Station-Halsey Field,San Diego,United States,NZY,KNZY,32.6991996800,-117.2149963000,26,-8,A,America/Los_Angeles,airport,OurAirports
3595,Biggs Army Air Field (Fort Bliss),El Paso,United States,BIF,KBIF,31.8495006600,-106.3799973000,3946,-7,A,America/Denver,airport,OurAirports
3596,Yuma MCAS/Yuma International Airport,Yuma,United States,YUM,KNYL,32.6566009500,-114.6060028000,213,-7,N,America/Phoenix,airport,OurAirports
3597,Cavern City Air Terminal,Carlsbad,United States,CNM,KCNM,32.3375015259,-104.2630004883,3295,-7,A,America/Denver,airport,OurAirports
3598,Duluth International Airport,Duluth,United States,DLH,KDLH,46.8420982361,-92.1936035156,1428,-6,A,America/Chicago,airport,OurAirports
3599,Bethel Airport,Bethel,United States,BET,PABE,60.7798004200,-161.8379974000,126,-9,A,America/Anchorage,airport,OurAirports
3600,Bowman Field,Louisville,United States,LOU,KLOU,38.2280006409,-85.6636962891,546,-5,A,America/New_York,airport,OurAirports
3601,Sierra Vista Municipal Libby Army Air Field,Fort Huachuca,United States,FHU,KFHU,31.5884990692,-110.3440017700,4719,-7,A,America/Phoenix,airport,OurAirports
3602,Lihue Airport,Lihue,United States,LIH,PHLI,21.9759998322,-159.3390045166,153,-10,N,Pacific/Honolulu,airport,OurAirports
"3603,""Terre Haute Regional Airport, Hulman Field"",Terre Haute,United States,HUF,KHUF,39.4515000000,-87.3076020000,589,-5,A,America/New_York,airport,OurAirports"
3604,Havre City County Airport,Havre,United States,HVR,KHVR,48.5429992700,-109.7620010000,2591,-7,A,America/Denver,airport,OurAirports
