ModelCode,ModelName
0100103,II
0100104,III
0110100,PITTS S-1
0110101,PITTS S-2
0110201,PITTS S-2A
0110202,PITTS S2S
0110301,PITTS SPECIAL S-1S
0110302,IV
0110303,PITTS S-1T
0110304,PITTS S-2B
0120102,JODEL D-1190S
0130102,ZUNI
0130202,ZUNI
0130230,ZUNI II
0130240,ZIA
0140102,L3805
0140202,100
0140203,DARTER 100/150
0140204,100A
0140205,111
0140208,100-180
0140302,200
0140312,200D
0140314,200E
0140412,T-200E
0141102,500
0141104,500-A
0141106,500-B
0141107,500 S
0141108,500-U
0141202,520
0141402,560
0141404,560-A
0141406,560-E
0141408,560-F
0141602,680
0141604,680-E
0141606,680-F
0141608,680FL
0141610,680FL P
0141611,680FP
0141612,685
0141614,685A
0141712,680T
0141714,680V
0141716,680W
0141718,681
0141720,690
0141722,690A
0141723,690B
0141802,720
0141902,800
0142002,1121
0142006,1121A
0142010,1121B
0143006,S2C
0143010,600 S-2D
0143012,600 S-2D RESTRICTED
0143022,S2R
0144202,CALLAIR A-9
0144204,CALLAIR A-9A
0144206,CALLAIR A-9B
0144306,CALLAIR B-1
0144308,CALLAIR B-1A
0144701,112
0145001,114-B
0145002,114TC
0145003,114A
0150240,240
0150406,A-1
0160000,AMT-200(SUPR XIMNGO)
0160001,AMT-200S
0160002,AMT-300
0160003,AMT-100
0160011,SILA 600 C
0160212,377MGT-1
0160216,377SGT
0170102,BUECKER 131
0180502,L-25
0180503,L 25 A
0180604,L-26-A
0182002,L-20
0182610,L-26-B
0190001,AERONCA C-1
0190002,AERONCA LA
0190003,AERONCA 500TC
0190101,C-2
0190102,C-2 STANDARD
0190104,C-2 SCOUT
0190105,C2
0190108,7AC
0190109,7AC
0190110,7AC
0190151,CHAMPION 7BCM
0190202,CF
0190204,KC
0190301,G-3
0190302,C-3
0190304,PC-3
0190402,K
0190404,KS
0190406,KCA
0190407,KF
0190504,KM
0190602,LW
0190604,LB
0190606,LC
0190702,50-F
0190705,50-TC
0190710,50-TL
0190712,50-C
0190716,50-L
0190717,50 LA
0190802,60-TF
0190902,65-TC
0190906,65-TF
0190908,65-TL
0190910,65-TAC
0190914,65-TAF
0190918,65-TAL
0190920,65-C
0190922,65-CA
0190923,65-CA
0190926,S-65-C
0190928,S-65-CA
0190930,65-LA
0190931,AERONCA/SOLOMON
0190932,65-LB
0191000,AERONCA C-2
0191002,0-58A
0191006,0-58B
0191008,L-3B
0191010,L-3C
0191012,SO-58B
0191014,YO-58
0191016,L-3
0191101,DELANEY/MILLER DM-1
0191102,11AC
0191103,11BC-CONV
0191104,S11AC
0191105,11AC
0191106,11BC
0191108,S11BC
0191110,11CC
0191111,11CC
0191112,S11CC
0191202,15AC
0191204,S15AC
0191312,12AC
0200506,M-100S
0210100,F.8L FALCO
0220102,AEROCRAFT 2SA
0260101,A109E
0260102,A119
0260103,A109S
0260104,A119
0260105,AW119 MKII
0260106,AW139
0260107,A109SP
0260108,AB-102
0260109,AGUSTA A109
0260110,AB139
0260111,AW139
0260112,A109A
0260113,AW109SP
0260114,A109SP
0260115,A109E
0260116,AW109SP
0260117,A109S
0260118,A109C
0260119,AW109SP
0260120,A109A II
0260130,AW119MKII
0260189,AGUSTA 109A
0260199,109A
0260200,AGUSTA-BELL AB204B
0260202,AB205
0260208,AGUSTA A109BA
0260300,A 109A
0260301,206A
0260302,AGUSTA-BELL 206B
0260303,AS61-N
0260304,AB 206A
0260305,AB204B
0260306,212
0260307,AB206 C1
0260350,AW189
0260400,AW139
0260401,AW119MKII
0260402,F.260D
0260403,AW139
0260404,AW119 MK
0260405,AW119
0260420,AW119KX
0260495,S210
0260496,S205-208
0260497,S205-20F
0260498,S205-20R
0260499,S205-18R
0260500,S205-18F
0260501,S205-S208A
0260502,A109K2
0260600,EH101
0260609,AW609
0260610,AW609
0260659,A109E
0264716,47D-1
0270102,AR 124
0270202,AR 404
0320102,STUDENT PRINCE X
0330001,P2006T
0330402,P2010
0330403,P2010 TDI
0330412,P2010 TDI
0330521,P2012 TRAVELLER
0330565,P-MENTOR
0340000,B-3
0350406,2000
0360122,A-9B
0380102,TEXAS BULLET 205
0380103,CH640
0390101,AT-300
0390103,AT-301
0390104,AT-302
0390105,AT-301
0390106,AT-301A
0390201,AT-401A
0390202,AT-400
0390203,AT-400A
0390204,AT-401
0390205,AT-402
0390206,AT-402A
0390207,AT-401B
0390208,AT-402B
0390209,AT-401
0390300,AT-500
0390302,AT-501
0390303,AT-502
0390304,AT-503A
0390305,AT-802
0390306,AT-502A
0390307,AT-502B
0390308,AT-802A
0390309,AT-602
0390310,AT-504
0390401,AT-250
0400102,A-1
0400103,EAGLEROCK A-1
0400104,A-2
0400106,A-3
0400107,COMB EAGLEROCK 3POLB
0400108,A-4
0400109,D2-FLYABOUTD2
0400110,A-12
0400112,EAGLEROCK A-13
0400113,A-14
0400114,EAGLEROCK A-4
0400115,EAGLEROCK A-15
0400201,EAGLEROCK C-4
0400205,EAGLEROCK C-5 BULLET
0400302,LONG WING EAGLEROCK
0400310,COMBINATION EAGLEROC
0400311,COMBO EAGLEROCK
0400350,EAGLEROCK LONG WING
0400379,EAGLEROCK
0400403,LONG WING
0400500,LONG WING EAGLEROCK
0400501,FLYABOUT D-2
0400502,COMBINATION EAGLEROC
0400503,PRIMARY GLIDER
0400504,EAGLEROCK A-2
0420104,F-1A
0420202,F-1
0420204,F-1A
0420302,415-C
0420304,415-CD
0420306,415-D
0420308,415-E
0420310,415-G
0420312,ERCOUPE 415-C
0420314,ERCOUPE 415-CD
0420316,ERCOUPE 415-D
0420318,ERCOUPE 415-E
0420320,ERCOUPE 415-G
0420321,ERCOUPE 415-CD
0420322,415-C
0420324,415-CD
0420326,415-D
0420328,415-E
0420330,415-G
0420332,415-C
0420334,415-CD
0420336,415-D
0420338,415-E
0420402,415-C
0420404,415-CD
0420406,415-D
0420408,415-E
0420410,415-G
0420502,E
0420504,E
0420702,G
0420722,G
0440104,18A
0440105,25
0470102,HRP-1
0500102,10A
0530102,ARGO
0540102,A2
0540104,A-2A
0540105,415-D
0540304,A-3
0540604,X-A4
0550201,SAGITTA
0550313,SAGITTA-013
0560100,TYPE III
0560101,10
0560102,II
0560103,SENIOR AERO SPORT 10
0560104,10
0560105,10
0560106,11
0560107,20
0560108,10
0560109,KITFOX CLASSIC IV
056010A,BD-4
056010B,TRI-Q2
056010C,PJ260
056010D,D-260
056010E,PJ260
056010F,ZNR ZODIAC CH601 HDS
056010G,SKEETER X.1
056010H,SB-1
056010I,COBRA B
056010J,SENIOR AERO SPT D260
056010K,SA-1
056010L,S2-MK.3
056010M,PIETENPOL AIRCAMPER
056010N,R S 1
056010O,HOT DOG
056010P,A
056010Q,CHALLENGER II
056010R,B
056010S,S-1
056010T,RANS S10
056010U,RANS S-6 ES
056010V,MARK II
056010W,1M
056010X,JUNIOR 85
056010Y,RV-6A
056010Z,20
0560110,SAC
0560111,T-19 SPEEDSTER
0560112,YOUNG CHAMPION-1
0560113,DAL - 1
0560114,SPEZIO SPORT TUHOLER
0560115,AKROMASTER
0560116,II
0560117,DAL-1
0560118,2
0560119,REVLUTN MINI-500
056011A,AW-1
056011B,MW-1
056011C,LONG- EZ
056011D,HORIZON 2
056011E,STP 1
056011F,BB 1 CHICKADEE
056011G,SH
056011H,S-1
056011I,CLIPPED WING SPEC
056011J,SPECIAL
056011K,M - 1
056011L,D-1
056011M,VARI-EZE
056011N,GW MODIFIED
056011O,IVP
056011P,KITFOX IV
056011Q,RV-6
056011R,VELOCITY
056011S,SNS
056011T,1
056011U,KITFOX SPEEDSTER
056011V,60
056011W,R A F 2000 GTX
056011X,PEER GYNT
056011Y,TUHOLER
056011Z,SA-300 STARDUSTER II
0560120,SK-5C
0560121,VANS RV-4
0560122,SF
0560123,SNS 3
0560124,II
0560125,LIGHTING BUG
0560126,RAF 2000 GTX SE
0560127,LS-1
0560128,M-21
0560129,LANCAIR 4
056012A,GLASAIR SUPER II
056012B,106
056012C,TANGO BEAR
056012D,F4F BEARCAT
056012E,PULSAR XP
056012F,CHALLENGER II SPEC
056012G,DALI
056012H,1
056012I,COZY MK IV
056012J,LB-1
056012K,1
056012L,KITFOX III
056012M,JRF
056012N,DAL 1
056012O,CLIPPED WING SPEC
056012P,DS
056012Q,SA3-A
056012R,1
056012S,JS-3
056012T,SUPER PARASOL
056012U,SHIP
056012V,3A
056012W,1A
056012X,ROTORWAY EXEC 90
056012Y,GLS-4
056012Z,SAC - IVW
0560130,100
0560131,A
0560132,1
0560133,T - 4
0560134,G1
0560135,KITFOX
0560136,A
0560137,BPS
0560138,TERRILL SPECIAL 3
0560139,LW-1
056013A,LITTLE TOOT F-200
056013B,90
056013C,JK-1B
056013D,225
056013E,1
056013F,LOEHLE 5151 MUSTANG
056013G,BI-PLANE
056013H,EXPERIMENTAL
056013I,AVID AIRCRAFT
056013J,CHALLENGER II
056013K,SWANNEE SPECIAL
056013L,7
056013M,CGS HAWK ARROW
056013N,RV4
056013O,KOLB FIRESTAR II
056013P,PUSHER
056013Q,SERIES 5 VIXEN
056013R,WD-6
056013S,SEAREY
056013T,MARK III
056013U,AF-1 47
056013V,66
056013X,HOMEBREWERS SPECIAL
056013Y,TERRILL SPECIAL 2
056013Z,KL-1A
0560140,T-21
0560141,T-40A
0560142,1
0560143,1
0560144,1
0560145,CHALLENGER II
0560146,VX
0560147,C
0560148,LGT1
0560149,RANS AIRAILE S-12
056014A,QUESTAIR VENTURE
056014B,2
056014C,CHALLENGER II
056014D,MARINER
056014E,MONOPLANE
056014F,P2
056014G,CHALLENGER II
056014H,BR-44
056014I,VANS ACFT RV6A
056014J,MITI MOUZ
056014K,3
056014L,H. L. S.
056014M,MAGNUM
056014N,T-2
056014O,WILLIAMS MARK IV
056014P,MONOPLANE
056014Q,RV-6A
056014R,SPECIAL 2 PLACE
056014S,AFB
056014T,AIT
056014U,CH
056014V,R-3
056014W,KITFOX IV-1200
056014X,PAC
056014Y,AMATEUR BUILT
056014Z,S.T.W.
0560150,AMF-S14
0560151,AN-1
0560152,HB
0560153,BIRD
0560154,PANTHER
0560155,WW-2
0560156,W-3
0560157,KORNS CAPER
0560158,CTP-9
056015A,RWS-1
056015B,T-40
056015D,S-10
056015E,4
056015F,UA-1
056015G,U.S.F.S. 1
056015H,SPECIAL
056015I,KOLB (FIRSTAR II)
056015J,WHITE PEITENPOL
056015K,M.M.1
056015L,KOLB MARK III
056015M,TITAN TORNADO II
056015N,TR-4
056015O,SKD DOUBLE HELIX
056015P,1
056015Q,2
056015R,PIETENPOL AIR CAMPER
056015S,DGF1
056015T,VS-1
056015U,HM290
056015V,OBGL-1
056015W,NAZGUL
056015X,1A
056015Y,W 11
056015Z,Z
0560160,W
0560161,W-1
0560162,BHWW
0560163,WXB
0560164,LOW WING
0560165,SUITE I
0560166,VOLKSPLANE
0560167,VW-LONGSTER
0560168,CASSUTT II
0560169,W - 1
056016A,WATERSPORT
056016B,HM 360
056016C,A
056016D,WT
056016E,WESLEY
056016F,MK-1
056016G,AIR PAL
056016H,BI-PLANE
056016I,ZENITH CH-300-TD
056016J,BL
056016K,BIPLANE
056016L,W-100
056016M,WE-1
056016N,1-65
056016O,MARINER
056016P,WHIRLWIND
056016Q,RLU-1
056016R,1
056016S,A
056016T,P1M3-A
056016U,MINIPLANE
056016V,460
056016W,MIDGET MUSTANG
056016X,MEADOWLARK WM-1
056016Y,A EXPERIMENTAL
056016Z,SKEETER HAWK
0560170,22
0560171,SKYHEATER
0560172,PARASOL
0560173,T-MINUS II
0560174,T-18
0560175,TERMITE
0560176,SPECIAL 1
0560177,HJ
0560178,S-1
0560179,1A
056017A,RACER
056017B,CASSUT
056017C,CF-1
056017D,CR 1
056017E,A
056017F,1
056017G,HOMEBUILT WAS
056017H,WAS-2
056017I,LONG EZ
056017J,EX
056017K,PUSHER
056017L,A
056017M,LOW BIPLANE
056017N,WR-1
056017O,W-10
056017P,1
056017Q,MODEL 1
056017R,PUSHER
056017S,HOMEBUILT
056017T,T-1
056017U,YARDBIRD
056017V,MUSTANG
056017W,1
056017X,3
056017Y,SX
056017Z,1
0560180,VOLMER SPORTSMAN
0560181,SPEZIO SPORT
0560182,I
0560183,JR-1
0560184,BA
0560185,BURKHART TUHOLER
0560186,D-260
0560187,MIDGET MUSTANG
0560189,MIDGET MUSTANG M-1
056018A,BLACK JACK
056018B,FLY BABY
056018C,BR-1
056018D,1A
056018E,OWL RACER 65-2
056018F,RK-1
056018G,GY-20
056018H,HR-1
056018I,MURPHY RENEGADE SP
056018J,PARASOL CWD-1
056018K,DAL-1
056018M,JD2FF
056018N,17
056018O,GLASAIR SUPER IIS-RG
056018P,5C3
056018Q,B.C.
056018R,JD2FF
056018S,MJ5
056018U,TWO
056018V,D-7
056018W,1
056018Y,1967
056018Z,MM1
0560190,MINI-500
0560191,CHALLENGER II CLIPWN
0560192,RANS S-7
0560193,HALLER SPECIAL
0560194,G-200
0560195,KIT COYOTE
0560196,MXL SPORT II
0560197,WIZARD
0560198,EXEC 162F-1995
056019B,1B
056019C,A
056019D,Y2
056019E,1968
056019F,3
056019G,DAL-1
056019I,LANCAIR IV P
056019K,WV-1
056019L,PAPPYS PUPPY
056019M,H-5
056019N,1
056019O,NU WACO T-10
056019P,AMPHIBIAN
056019Q,GANNET D1
056019R,SPECIAL
056019S,RB-1
056019T,JT-1
056019U,COZY MK IV
056019V,DOUGLAS LARK
056019W,W8
056019X,LANCAIR IV
056019Y,RV-6
056019Z,RM5
05601A0,CHALLENGER II
05601A1,VELOCITY RG
05601A2,FLIGHTSTAR II
05601A3,A
05601A4,ARC SPECIAL
05601A5,A
05601A6,STD-10
05601A7,2
05601A8,HRH MCNEAL
05601A9,01
05601AA,EDI EXPRESS
05601AB,W11
05601AC,CATEGORY
05601AE,MERLIN GT
05601AF,SPECIAL
05601AG,CHALLENGER II SPECIA
05601AI,NORTH AMERICAN 50
05601AK,MARK III
05601AM,BD-5B
05601AO,E RACER
05601AP,KR 2
05601AQ,ABS-1
05601AR,V6STOL
05601AS,LITTLE/BENSON
05601AT,ROGERS-GROS TRI-ACE
05601AU,HE-1
05601AV,XH-1
05601AW,STUDENT PRINCE
05601AX,SPECIAL
05601AY,KR 2
05601AZ,SP-1A
05601B0,DB1
05601B1,LASLEY SPORT
05601B2,BAKER REBEL
05601B3,BCA-1
05601B4,J4-B
05601B5,BA
05601B6,KITFOX 1200 IV
05601B7,LESA BAIR T. C. 1
05601B8,FERGIE-2
05601B9,J3M
05601BA,BD-4
05601BB,VANS RV-4
05601BC,SA-11A
05601BD,A101
05601BE,LANCAIR IV
05601BF,MARK IV AVID ACFT IN
05601BG,CHALLENGER II
05601BH,SPECIAL
05601BI,BURMY BIPE
05601BJ,HI MAX 1400Z
05601BK,TRAIL AIR
05601BL,GOON
05601BM,PIETENPOLE 001DT
05601BN,RANS-S-12XL
05601BO,GENESIS
05601BP,SP-5
05601BQ,BIPLANE
05601BR,X1
05601BS,MIGNET FLNG FLEA 293
05601BT,USA
05601BU,WEEDHOPPER
05601BV,A-1
05601BW,150
05601BX,R-CHINOOK
05601BY,HM293
05601BZ,B
05601C0,COZY
05601C1,KITFOX IV SPEEDSTER
05601C2,A
05601C3,KITFOX III
05601C4,RV-6
05601C5,BII
05601C6,F-1
05601C7,AMATEUR-BUILT
05601C8,BISHOP SPORT
05601C9,M
05601CA,MIDWING SPECIAL
05601CB,VELOCITY ELITE
05601CC,BP-1
05601CD,M
05601CE,0-1
05601CF,FW-1
05601CG,190A
05601CH,KINGFISHER
05601CI,PECKERWOOD 1-A
05601CJ,RANS S-6 COYOTE
05601CK,RB-2
05601CL,100
05601CM,TURBULENT
05601CN,W-7
05601CO,RV-4
05601CP,1
05601CQ,KR2
05601CR,RAF-2000
05601CS,1
05601CT,MS-2
05601CU,MODEL 1
05601CV,II
05601CW,BD-150
05601CX,RS
05601CY,B-1
05601CZ,1A
05601D0,SPECIAL MODEL A
05601D1,MIDGET MUSTANG
05601D2,MODEL # 1
05601D3,BA-42
05601D4,TG-BLU-1
05601D5,1
05601D6,JUNGMEISTER
05601D7,KOLB MARK III
05601D8,CA-65
05601D9,SKYFLY
05601DA,LANCAIR 360
05601DB,LITTLE GEORGE
05601DC,EXEC
05601DD,MODIFIED BANTAM
05601DE,OZ
05601DF,SITZ-STARDUSTER TOO
05601DG,MAYFIELD III
05601DH,WHEELER EXP CF FT
05601DI,CHRISTAVIA MK 4
05601DJ,HOMEBUILT
05601DK,BW-1
05601DL,MURPHY RENEGADE SP
05601DM,AVID MAGNUM
05601DN,KITFOX V
05601DO,CHALLENGER II
05601DP,R.B. SPECIAL
05601DQ,1
05601DR,RACER
05601DS,SMITH/WAG SPORT TRNR
05601DT,SPECIAL
05601DU,MARK IV
05601DV,BLACKHAWK 1
05601DW,BWM-10
05601DX,VOLMER AMPHIBIAN
05601DY,SKYHOPPER
05601DZ,SLA 1
05601E0,F8L FALCO
05601E1,CHURCH MIDWING
05601E2,III M
05601E3,SC-1
05601E4,CHALLENGER II
05601E5,III M SPORT
05601E6,M-MA4
05601E7,FC-1
05601E8,SA-3B
05601EA,MLC-3
05601EB,VELOCITY RG
05601EC,RV 6A
05601ED,SPECIAL
05601EE,THOMAS MODEL T
05601EF,LW-1
05601EG,RACER II
05601EH,SAVAGE-COZY
05601EI,KITFOX CLASSIC IV
05601EJ,PRECEPTOR ULTRA-PUP
05601EK,111M2
05601EL,II
05601EM,GBM2
05601EN,TRI-Q200
05601EO,AVID SPEEDWG AERO BT
05601EP,EXEC 162F
05601ER,B
05601ES,CHALLENGER II
05601ET,3M
05601EU,CHRISTEN EAGLE II
05601EV,1
05601EW,ACRO SPORT II
05601EX,RACER
05601EY,ULTRASPORT 496
05601EZ,C-II-M
05601F0,CS-1
05601F1,F-12
05601F2,I POLM
05601F3,I
05601F4,RV-6
05601F5,CU-1
05601F6,D
05601F7,HUMMELBIRD
05601F8,MR 1
05601F9,PUSHER
05601FA,PICARD-RAF
05601FC,MINI-MAX
05601FD,1
05601FE,II
05601FF,BUCKSHOT
05601FG,MWP
05601FH,III
05601FI,FIAT G46 SPECIAL
05601FJ,RV6A
05601FK,LANCAIR IV
05601FL,WOODSTOCK
05601FM,SPECIAL
05601FN,RV-6A
05601FO,SIDEWINDER
05601FP,RV-3
05601FQ,CASSUT
05601FR,VJ 22 SPORTSMAN
05601FS,A
05601FT,LONG EZ
05601FU,LANCAIR IV
05601FV,CHALLENGER II
05601FW,BENSON GYRO-COPTER
05601FX,R.O.B.
05601FY,M-III
05601FZ,2-POLB
05601G0,TD-162
05601G1,KITFOX IV 1200
05601G2,DDT
05601G3,GLASAIR II-S FT
05601G4,DG-1
05601G5,1
05601G6,MIGHTY MUSTANG
05601G7,BFS-1
05601G8,EVANS VP-2
05601G9,SWICK-T
05601GA,B
05601GB,CW-1 REP.
05601GC,GLASAIR SUPER IIS
05601GD,RANS S-12
05601GE,SHA-GLASAIR
05601GF,D-1
05601GG,D&D SPECIAL D-1
05601GI,VELOCITY STANDARD RG
05601GJ,STARDUSTER
05601GK,KITFOX IV-1200
05601GL,SD-1A
05601GM,AVID FLYER MARK IV
05601GN,RV-4
05601GO,SA750
05601GP,STILETTO R G
05601GQ,DD MODEL A
05601GR,DA-2A
05601GS,GENESIS
05601GT,NIEUPORT 11 C-1
05601GU,SPORT
05601GV,THORP T-18
05601GW,KITFOX IV
05601GX,BD-2
05601GY,V6STOL
05601GZ,DR 107
05601H0,1-A
05601H1,RV-6A
05601H2,BD-5
05601H3,SPECIAL
05601H4,F2
05601H5,MINI MAX 1500
05601H7,G-1
05601H8,CHALENGER II SPEC
05601H9,LANCAIR IV-P
05601HA,SKYSTAR ACFT IV-1200
05601HB,A
05601HC,XP-1
05601HD,HA-1
05601HE,ROCKET II
05601HF,I
05601HG,ROG
05601HH,DRAG-N-FLY CT-TF
05601HI,AVID MAGNUM
05601HJ,D3G
05601HK,V-1
05601HL,DX 1
05601HM,TURBULENT D-31
05601HN,RV-4
05601HO,BERKUT
05601HP,MP
05601HQ,CA-18
05601HR,SPECIAL
05601HS,2
05601HT,100
05601HU,JD-2
05601HV,AVID FLYER
05601HW,BARNETT J4B2
05601HX,GIBBS-QUICKIE 1
05601HZ,J3
05601I0,LANCAIR 320
05601I1,EDWARDS-WHEELER EXP
05601I2,RV-4
05601I3,ROTORWAY EXEC
05601I4,SKYBOLT
05601I5,STEEN SKY BOLT
05601I6,PROGRESSIVE AERODYNE
05601I7,SPACEWALKER II
05601I8,GLASAIR SH-2R
05601I9,KITFOX IV-1200
05601IA,HAULER
05601IB,KR-2 RAND ROBINSON
05601IC,FIRESTAR II
05601ID,RV6A
05601IE,KROKKER
05601IF,VOLKS CRAFT-SK-200
05601IG,LANCAIR ES
05601IH,LANCAIR 4P
05601II,LONG-EZ
05601IJ,AVID MAGNUM
05601IK,AURIGA
05601IL,FAKKER D-8
05601IM,LANCAIR 360
05601IN,E-RACER
05601IO,HATZ-C-B1
05601IP,CELEBRITY
05601IQ,SL-A
05601IS,RV-6
05601IT,GT-500 QUICKSILVER
05601IU,EXECUTIVE
05601IV,KITFOX IV 1200
05601IW,SR-1
05601IX,AVID MAGNUM
05601IY,RV-6
05601IZ,LANCAIR IV P
05601J0,CHALLENGER II SPEC
05601J1,RV-4
05601J2,RV-4
05601J3,HB
05601J4,E
05601J5,MURPHY REBEL
05601J6,SPECIAL
